Year (UC)	Year (IC)	Month	Book	Chapter	Event	Notes
791	482	August	Servants of the Pharaoh	11	Kircheis enters the IOA	
792	483	March	Life Out of Balance	9	Reinhard enters the Alliance Officers' Academy	
792	483	May	Servants of the Pharaoh	12	Yang's forewarning of Oberstein saves Iserlohn from total loss. Yang is promoted to Commander	
792	483	May	Servants of the Pharaoh	13	Mittermeyer proposes to Evangeline	
792	483	July	Servants of the Pharaoh	13	Yang and Reuenthal hook up (finally)	
792	483	August	Servants of the Pharaoh	15	Mittermeyer marries Evangeline	
792	483	December	Life Out of Balance	n/a	Annerose graduates from the Alliance Officers' Academy	
793	484	June	Servants of the Pharaoh	16	Kircheis investigates the Earth Church while in his summer position at Neue Sanssouci	
793	484	November	Whatever It Takes to Keep the Body Warm	1	The Earth Church headquarters burn down	
793	484	December	Whatever It Takes to Keep the Body Warm	2	Reuenthal is assigned to Kapche-Lanka and rescues Mittermeyer	
794	485	January	Whatever It Takes to Keep the Body Warm	3	Reuenthal and Mittermeyer are both promoted to captain and reassigned. also they stop having their feud	
794	485	February	Life Out of Balance	11	Jessica Edwards and Jean Robert Lapp marry	
795	486	January	Life Out of Balance	14	Annerose adopts Julian	
795	486	February	Life Out of Balance	12	Reinhard and Fredrica free prisoners at Condor Base. Schenkopp agrees to let Annerose join the Rosenritter.	
795	486	February	Life Out of Balance	13	Reinhard and Fredrica free prisoners at Condor Base. Schenkopp agrees to let Annerose join the Rosenritter.	
795	486	February	Life Out of Balance	14	Reinhard and Fredrica free prisoners at Condor Base. Schenkopp agrees to let Annerose join the Rosenritter.	
795	486	February	Servants of the Pharaoh	17	Kircheis overhears Reuenthal talking about his adventure at Condor Base	
795	486	April	Servants of the Pharaoh	18	Mittermeyer is assigned to policing duty on the frontier	
795	486	May	Servants of the Pharaoh	18	Mittermeyer prison rescue	
795	486	June	Keep the Home Fires (Burning)	1	Kircheis (and Hilde) graduate (or "graduate") from the IOA. Count Marbach dies. Yang takes up a new position under Duke Braunschweig.	
795	486	November	Keep the Home Fires (Burning)	3	Reuenthal's father dies.	
795	486	December	Life Out of Balance	15	Reinhard and Fredrica graduate from the Alliance Officers' Academy and are commissioned into the fleet as lt cmdrs	
795	486	December	Keep the Home Fires (Burning)	3	Yang proposes to Magdalena	
795	486	December	Lighting Out for the Territories	1	Reinhard is assigned to Phezzan as a military attache to the embassy	
795	486	December	Lighting Out for the Territories	7	Fredrica is assigned to the sixth fleet; meets Captain Fork	
796	487	January	Lighting Out for the Territories	1	The Earth Church enlists Reinhard's help getting Ingrid into the FPA	
796	487	February	Lighting Out for the Territories	3	Annerose and the Rosenritter rescue Ingrid from Phezzan	
796	487	March	Lighting Out for the Territories	5	Annerose warns Reinhard about her mission to Cahokia	
796	487	July	Lighting Out for the Territories	5	Reinhard reads in the papers that Duke Braunschweig has someone fight a duel	
796	487	July	Lighting Out for the Territories	7	Fredrica's mother dies	
796	487	August	Lighting Out for the Territories	6	The Rosenritter base on Cahokia is attacked	
796	487	August	Lighting Out for the Territories	7	Fredrica and the sixth fleet rescue the Rosenritter from Cahokia	
796	487	September	Lighting Out for the Territories	9	Annerose and the rest of the Rosenritter return to Heinessen	
796	487	October	Lighting Out for the Territories	8	Castrop flees to Phezzan; Reinhard rescues the Mariendorfs	
796	487	October	Lighting Out for the Territories	11	Castrop dies; Reinhard is the scapegoat; he is forced to leave Phezzan to stand some kind of trial	
796	487	November	Lighting Out for the Territories	11	Reinhard undergoes his 'inquest' and makes a deal with job trunicht	
797	488	April	Serpent's Mouth, Serpent's Teeth	16	Yang marries Magdalena.	
	488	May	Serpent's Mouth, Serpent's Teeth		Martin graduates from ONU.	
	488	September	Serpent's Mouth, Serpent's Teeth		Kaiser Friedrich dies.	
797	488	December	Lighting Out for the Territories	13	Reinhard returns to Heinessen after a year of being in command of the ship Constantinople	
798	489	January	Lighting Out for the Territories	14	Reinhard helps Trunicht destroy the Alliance economy as a pretext for invading Phezzan	
798	489	September	Lighting Out for the Territories	16	The Alliance invades Phezzan	
798	489	September	Lighting Out for the Territories	17	Muller defects to the Alliance. An Imperial fleet heads towards Phezzan.	
